,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,18:14,150,"1,454",505,5,24,41.6,148,3.16s,9,334,179,11,16,372,0,82%,3,1,84.7%,316,38,19,11,3,8,74%,26/35,Knights vs Broncos,Knights,2017
1,59%,26:14,166,"1,682",621,6,38,48.1,162,3.46s,13,384,205,27,21,598,1,57%,5,5,88.3%,286,24,14,5,6,8,86%,30/35,Knights vs Broncos,Broncos,2017
