,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:18,153,"1,473",483,5,21,44.7,210,3.7s,7,340,176,28,16,463,2,80%,6,1,87.5%,336,28,20,4,76%,25/33,Knights vs Broncos,Knights,2015
1,54%,27:22,191,"1,776",612,9,28,49.4,213,3.41s,15,422,223,45,20,496,1,100%,4,4,90.6%,300,21,10,5,83%,30/36,Knights vs Broncos,Broncos,2015
