,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:11,188,"1,484",457,6,27,40.1,126,3.18s,15,418,232,25,20,485,1,79%,3,7,91.1%,337,30,0,3,9,6,1,8,0,78%,29/37,Rabbitohs vs Cowboys,Rabbitohs,2018
1,49%,26:07,155,"1,333",449,2,30,36,135,3.41s,3,392,219,18,21,483,2,67%,4,9,86.4%,344,27,1,27,8,8,0,7,2,76%,28/37,Rabbitohs vs Cowboys,Cowboys,2018
