,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,39%,18:13,170,"1,565",548,3,30,42.3,157,10,393,213,2,21,554,3,75%,1,2,8,94.2%,310,15,0,4,4,70%,26/37,Warriors vs Cowboys,Warriors,2013
1,61%,28:29,157,"1,490",556,6,15,40.3,159,3,354,189,3,16,467,1,75%,0,1,1,87.2%,320,30,1,17,5,68%,25/37,Warriors vs Cowboys,Cowboys,2013
