,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,23:09,154,"1,519",439,10,23,39,222,3.39s,11,332,171,11,15,528,38%,5,1,86.6%,278,24,0,19,11,5,8,0,72%,28/39,Broncos vs Eels,Broncos,2016
1,48%,21:23,145,"1,194",375,2,24,37.3,118,3.18s,12,350,194,14,17,443,57%,3,4,87.5%,307,23,2,21,9,6,8,2,75%,24/32,Broncos vs Eels,Eels,2016
