,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,25:57,179,"1,596",455,4,46,42,213,3.33s,22,447,257,16,20,459,3,100%,0,4,5,86.9%,319,27,1,21,10,9,1,8,71%,27/38,Dragons vs Wests Tigers,Dragons,2016
1,47%,23:00,165,"1,562",412,7,27,38.1,140,3.54s,12,359,191,12,15,480,1,67%,1,1,2,79.9%,303,46,1,30,9,7,0,7,78%,32/41,Dragons vs Wests Tigers,Wests Tigers,2016
