,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,26:36,164,"1,622",659,4,27,46.4,228,6,396,215,19,22,497,2,100%,9,6,86.5%,263,16,25,3,86%,30/35,Raiders vs Dragons,Raiders,2013
1,45%,21:46,133,"1,240",507,4,16,36.5,172,16,311,156,11,16,538,2,62%,6,3,90.8%,327,27,6,6,65%,22/34,Raiders vs Dragons,Dragons,2013
