,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:24,168,"1,673",560,5,46,38.9,218,3.49s,9,397,211,12,16,295,3,62%,7,5,83.2%,322,26,1,39,3,58%,25/43,Roosters vs Titans,Roosters,2015
1,52%,26:27,177,"1,510",539,3,26,43.1,70,3.7s,19,394,206,38,17,489,2,73%,3,1,84.7%,315,46,1,11,7,63%,22/35,Roosters vs Titans,Titans,2015
