,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:06,162,"1,497",436,5,30,38.4,165,3.38s,13,353,188,45,18,536,86%,0,6,0,83.6%,326,31,1,33,9,0,74%,29/39,Panthers vs Bulldogs,Panthers,2015
1,52%,26:07,190,"1,561",526,6,31,39,153,3.67s,17,386,201,25,16,492,70%,1,1,4,85%,278,30,2,19,9,1,70%,28/40,Panthers vs Bulldogs,Bulldogs,2015
