,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,22:05,141,"1,322",443,4,12,33.1,136,15,344,173,7,25,632,2,88%,2,9,95.2%,378,12,7,6,1,73%,29/40,Storm vs Bulldogs,Storm,2013
1,56%,28:07,174,"1,644",602,3,12,39.1,199,7,426,229,3,26,663,2,81%,3,4,89.3%,241,12,17,6,0,76%,32/42,Storm vs Bulldogs,Bulldogs,2013
