,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,22:33,189,"1,625",502,8,42,41.7,198,9,364,190,25,14,424,0,100%,3,1,92.5%,270,16,6,6,1,59%,23/39,Bulldogs vs Panthers,Bulldogs,2013
1,49%,21:40,143,"1,282",472,4,16,37.7,138,4,356,206,32,18,423,1,100%,2,5,84.7%,299,42,12,4,0,68%,23/34,Bulldogs vs Panthers,Panthers,2013
