,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,27:48,192,"1,645",468,4,38,41.1,177,3.81s,10,433,232,11,22,554,2,82%,6,7,86.3%,290,21,25,7,4,0,8,90%,36/40,Wests Tigers vs Warriors,Wests Tigers,2019
1,44%,21:50,150,"1,245",353,1,21,37.7,146,3.39s,14,344,184,8,16,469,2,77%,5,5,88.4%,389,38,13,14,8,1,8,67%,22/33,Wests Tigers vs Warriors,Warriors,2019
