,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,26:11,156,"1,294",416,8,40,31.6,95,3.59s,15,367,197,29,14,309,2,86%,2,3,82.8%,217,21,0,24,13,11,0,1,8,2,80%,33/41,Dragons vs Sharks,Dragons,2018
1,42%,18:58,132,"1,030",289,4,21,25.8,145,3.62s,15,330,197,22,10,240,3,82%,1,5,81.4%,280,40,2,24,15,12,1,0,7,0,70%,28/40,Dragons vs Sharks,Sharks,2018
