,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,31:46,186,"1,577",518,3,23,39.4,253,16,420,221,3,21,446,3,89%,1,4,8,93.4%,323,19,4,6,0,78%,31/40,Dragons vs Broncos,Dragons,2013
1,42%,23:00,159,"1,448",526,4,19,41.4,108,4,384,207,2,25,624,1,93%,0,7,3,90.2%,359,23,16,8,1,91%,32/35,Dragons vs Broncos,Broncos,2013
