,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,40%,20:16,133,"1,342",331,5,32,40.7,86,3.34s,10,306,167,20,11,278,0,60%,3,2,90%,422,30,17,18,8,1,8,2,61%,20/33,Wests Tigers vs Titans,Wests Tigers,2018
1,60%,30:25,195,"1,554",423,5,30,37,131,3.35s,12,460,252,32,24,577,2,78%,4,6,84.8%,251,32,13,9,5,0,7,0,83%,35/42,Wests Tigers vs Titans,Titans,2018
