,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,20:47,165,"1,541",508,7,45,37.6,167,9,352,173,18,19,399,100%,3,4,87.1%,271,25,15,6,0,83%,34/41,Dragons vs Wests Tigers,Dragons,2014
1,52%,22:30,139,"1,140",352,4,25,32.6,161,11,331,177,13,18,353,85%,2,4,84.1%,301,45,12,11,1,71%,25/35,Dragons vs Wests Tigers,Wests Tigers,2014
