,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:04,189,"1,818",500,10,35,49.1,133,3.37s,8,386,202,11,14,375,0,78%,4,2,93.2%,313,10,0,13,10,6,8,78%,29/37,Knights vs Cowboys,Knights,2019
1,48%,24:04,175,"1,366",404,2,10,39,93,3.44s,5,374,220,8,19,381,3,83%,2,8,87.5%,357,35,1,16,12,6,8,74%,26/35,Knights vs Cowboys,Cowboys,2019
