,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,26:40,153,"1,472",599,2,29,39.8,188,3.65s,8,354,183,21,16,493,1,80%,3,4,88.7%,337,23,1,20,9,3,62%,23/37,Dragons vs Panthers,Dragons,2015
1,46%,22:43,166,"1,421",447,2,23,35.5,153,3.54s,15,357,194,36,14,396,0,88%,1,2,87.6%,332,29,1,18,7,0,60%,24/40,Dragons vs Panthers,Panthers,2015
