,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,25:39,168,"1,729",524,3,31,40.2,173,3.19s,9,363,185,19,19,394,33%,4,4,92.8%,333,16,10,10,6,8,79%,34/43,Dragons vs Warriors,Dragons,2017
1,51%,26:41,178,"1,635",443,4,16,43,133,3.36s,6,418,239,27,16,455,77%,5,2,87.6%,319,31,14,20,8,8,61%,23/38,Dragons vs Warriors,Warriors,2017
