,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,24:21,174,"1,735",589,2,29,48.2,228,3.6s,10,381,200,25,20,451,1,78%,8,3,90.1%,364,22,18,8,1,81%,29/36,Wests Tigers vs Titans,Wests Tigers,2015
1,51%,25:20,188,"1,791",624,6,22,45.9,162,3.49s,9,411,224,33,18,529,1,83%,4,3,87.8%,345,29,19,8,1,85%,33/39,Wests Tigers vs Titans,Titans,2015
