,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,30:07,167,"1,521",552,1,14,41.1,224,10,397,211,6,21,484,2,88%,5,7,90.2%,377,22,19,5,78%,29/37,Panthers vs Cowboys,Panthers,2013
1,46%,25:39,183,"1,674",635,4,22,40.8,177,13,472,255,10,26,774,1,76%,2,8,93.4%,355,14,11,6,80%,33/41,Panthers vs Cowboys,Cowboys,2013
