,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,31:10,199,"1,839",524,3,24,40,290,3.45s,11,420,217,12,21,689,3,44%,0,6,3,91.9%,375,18,2,15,15,2,0,8,1,76%,35/46,Eels vs Warriors,Eels,2019
1,47%,27:39,191,"1,568",474,5,18,41.3,210,3.71s,8,412,213,13,24,778,0,88%,1,6,3,89.4%,389,24,0,22,9,9,2,8,1,84%,32/38,Eels vs Warriors,Warriors,2019
