,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,26:28,182,"1,587",604,1,35,39.7,115,24,432,236,8,17,371,2,86%,3,6,84.8%,267,34,2,14,6,68%,27/40,Bulldogs vs Eels,Bulldogs,2014
1,47%,23:28,147,"1,520",424,7,34,41.1,125,12,355,193,4,12,407,0,86%,2,2,82.4%,319,35,3,33,10,65%,24/37,Bulldogs vs Eels,Eels,2014
