,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,22:03,157,"1,371",499,1,18,34.3,168,3.78s,10,361,194,14,20,483,1,62%,4,6,92.8%,384,21,9,7,2,68%,27/40,Roosters vs Dragons,Roosters,2015
1,57%,29:15,169,"1,515",559,1,21,37,166,3.42s,5,410,217,19,27,764,1,82%,1,7,91.2%,332,18,14,7,0,80%,33/41,Roosters vs Dragons,Dragons,2015
