,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,26%,12:39,123,"1,038",366,2,17,35.8,99,4.18s,8,274,148,15,12,309,0,73%,2,4,85.8%,382,36,1,27,11,1,66%,19/29,Warriors vs Cowboys,Warriors,2015
1,74%,36:02,207,"1,842",681,8,36,43.9,232,3.85s,14,457,261,27,19,485,6,100%,2,4,88.6%,241,17,0,14,8,0,90%,38/42,Warriors vs Cowboys,Cowboys,2015
