,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,38%,19:05,128,"1,202",335,3,24,37.6,147,3.45s,10,294,154,19,13,330,1,84%,0,4,2,85.2%,356,39,23,10,7,8,0,69%,22/32,Sea Eagles vs Eels,Sea Eagles,2017
1,62%,31:08,208,"1,737",504,4,39,44.6,228,3.94s,16,460,252,27,24,457,5,100%,1,7,10,86.8%,257,24,15,9,5,8,2,82%,32/39,Sea Eagles vs Eels,Eels,2017
