,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,18:57,168,"1,420",492,2,22,39.5,128,3.66s,12,348,179,24,14,342,0,100%,0,4,1,89.4%,346,28,1,13,8,1,1,64%,23/36,Titans vs Wests Tigers,Titans,2015
1,52%,20:32,165,"1,479",585,3,28,41.1,154,3.62s,6,363,202,21,14,447,2,50%,1,4,3,88.6%,312,22,0,18,10,1,0,72%,26/36,Titans vs Wests Tigers,Wests Tigers,2015
