,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:40,167,"1,273",492,3,16,30.3,131,3.84s,10,364,187,28,20,542,1,82%,3,6,90.3%,410,34,10,5,74%,31/42,Panthers vs Cowboys,Panthers,2015
1,53%,27:50,182,"1,659",606,6,34,43.7,184,4.15s,6,416,224,13,24,698,0,67%,5,6,92%,356,16,15,9,87%,33/38,Panthers vs Cowboys,Cowboys,2015
