,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,25:45,160,"1,494",548,7,34,46.7,197,10,367,184,6,23,774,0,100%,0,3,2,86.9%,332,31,19,4,2,88%,28/32,Raiders vs Eels,Raiders,2014
1,54%,30:14,187,"1,787",637,4,31,45.8,224,14,507,318,7,24,462,1,93%,1,3,7,86.4%,318,34,16,2,1,79%,31/39,Raiders vs Eels,Eels,2014
