,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,25:02,162,"1,522",522,3,23,41.2,191,3.87s,18,360,180,26,21,432,3,100%,6,8,88.4%,343,40,0,5,8,76%,28/37,Titans vs Sea Eagles,Titans,2015
1,51%,26:04,179,"1,782",636,8,40,41.4,186,3.6s,3,426,235,33,21,579,0,80%,2,2,85.6%,297,23,2,27,6,86%,37/43,Titans vs Sea Eagles,Sea Eagles,2015
