,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,27:29,146,"1,406",391,4,37,40.2,194,3.6s,5,311,156,17,20,441,2,60%,3,10,90.7%,369,27,11,10,11,8,74%,26/35,Broncos vs Cowboys,Broncos,2018
1,50%,27:29,195,"1,370",378,2,27,33.4,89,3.96s,9,428,244,31,23,504,2,83%,2,7,85.9%,298,37,12,8,5,8,83%,34/41,Broncos vs Cowboys,Cowboys,2018
