,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,19:34,138,"1,132",322,4,28,31.5,86,3.74s,10,295,153,28,14,338,0,70%,4,2,90.1%,328,18,0,18,10,5,6,0,69%,25/36,Dragons vs Eels,Dragons,2017
1,55%,23:54,172,"1,486",385,7,18,41.3,120,4.11s,9,393,217,43,20,531,1,67%,4,4,84.3%,269,28,1,22,8,7,8,2,81%,29/36,Dragons vs Eels,Eels,2017
