,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,25:39,175,"1,507",547,6,32,39.7,146,3.41s,3,390,206,11,25,688,2,86%,5,5,87.5%,343,24,25,11,9,6,84%,32/38,Wests Tigers vs Cowboys,Wests Tigers,2019
1,51%,26:42,167,"1,422",532,2,24,33.1,111,3.37s,11,398,225,18,17,448,0,90%,4,2,89.6%,335,32,7,12,6,8,65%,28/43,Wests Tigers vs Cowboys,Cowboys,2019
