,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,22:01,146,"1,352",344,5,23,45.1,254,3.79s,7,302,153,37,15,359,0,88%,4,4,87.9%,327,28,1,17,8,8,1,8,77%,23/30,Sea Eagles vs Rabbitohs,Sea Eagles,2017
1,56%,28:02,187,"1,650",443,8,28,41.3,198,4.02s,11,407,217,43,21,580,3,75%,1,7,88.8%,270,23,0,11,5,3,0,7,85%,34/40,Sea Eagles vs Rabbitohs,Rabbitohs,2017
