,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,39%,21:21,165,"1,439",547,4,38,36,179,3.97s,4,363,195,29,18,508,2,78%,3,3,85.4%,340,27,31,6,72%,29/40,Rabbitohs vs Panthers,Rabbitohs,2015
1,61%,33:25,175,"1,517",501,5,27,41,181,3.71s,18,389,211,30,17,344,3,88%,1,6,88.3%,331,38,6,9,59%,22/37,Rabbitohs vs Panthers,Panthers,2015
