,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:30,154,"1,566",538,5,26,42.3,136,6,348,184,9,17,449,1,89%,4,2,91%,344,18,0,16,7,2,76%,28/37,Rabbitohs vs Broncos,Rabbitohs,2014
1,54%,27:35,167,"1,526",564,2,18,42.4,156,11,389,215,16,16,396,1,62%,2,5,90.5%,324,26,1,8,6,0,67%,24/36,Rabbitohs vs Broncos,Broncos,2014
