,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,28:44,202,"1,591",560,2,14,37.9,162,3.32s,17,477,268,26,21,633,3,100%,5,3,85.5%,283,37,0,11,13,6,7,2,69%,29/42,Knights vs Dragons,Knights,2018
1,44%,22:35,142,"1,519",516,3,37,42.2,170,3.11s,7,302,146,28,16,530,0,57%,5,2,91.2%,395,14,1,24,10,7,7,2,78%,28/36,Knights vs Dragons,Dragons,2018
