,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,24:21,161,"1,572",504,2,22,42.5,134,3.86s,6,387,215,18,20,456,0,79%,6,4,89.6%,441,31,20,6,76%,28/37,Dragons vs Roosters,Dragons,2015
1,50%,24:21,196,"1,803",640,2,31,48.7,196,3.54s,12,444,237,18,21,464,2,82%,6,5,91.6%,329,22,8,7,86%,32/37,Dragons vs Roosters,Roosters,2015
