,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,25:56,173,"1,544",322,4,33,38.6,135,3.66s,17,405,227,15,20,454,2,86%,3,7,89.4%,319,29,1,9,12,7,0,6,1,75%,30/40,Dragons vs Rabbitohs,Dragons,2019
1,49%,24:55,174,"1,612",334,6,29,37.5,210,3.57s,6,361,189,10,21,489,4,69%,3,8,82.8%,294,33,0,28,12,9,1,8,0,74%,32/43,Dragons vs Rabbitohs,Rabbitohs,2019
