,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,22:09,154,"1,163",284,2,22,36.4,100,3.46s,4,322,180,6,15,463,0,83%,3,4,87.6%,387,36,0,19,8,9,0,8,78%,25/32,Dragons vs Knights,Dragons,2019
1,57%,29:23,190,"1,675",395,6,36,45.3,203,3.42s,9,443,255,5,22,561,3,100%,5,5,90.8%,268,22,1,5,5,10,1,8,89%,33/37,Dragons vs Knights,Knights,2019
