,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,31:43,214,"2,082",735,5,35,49.6,268,4.05s,7,487,272,19,25,575,2,100%,4,4,92.3%,338,17,0,11,3,79%,33/42,Cowboys vs Storm,Cowboys,2015
1,43%,23:56,175,"1,565",545,3,17,43.5,214,3.83s,9,390,208,31,19,614,1,80%,1,3,90.2%,432,35,1,12,5,72%,26/36,Cowboys vs Storm,Storm,2015
