,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,27:46,188,"1,593",481,3,51,40.9,164,3.53s,6,346,176,10,15,425,0,82%,1,4,85.3%,289,30,1,20,5,7,7,2,87%,34/39,Bulldogs vs Panthers,Bulldogs,2018
1,48%,25:38,165,"1,552",462,3,30,45.7,148,3.25s,12,392,227,10,19,473,1,50%,6,3,84.7%,350,51,0,12,7,12,8,0,79%,27/34,Bulldogs vs Panthers,Panthers,2018
