,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,28:04,179,"1,809",541,8,24,46.4,232,3.41s,9,404,223,24,15,356,1,71%,1,3,87.2%,287,28,2,14,12,4,1,8,74%,29/39,Titans vs Warriors,Titans,2018
1,46%,23:55,156,"1,314",420,2,28,42.4,98,3.17s,9,337,189,26,14,395,1,60%,2,3,90%,352,24,0,15,12,7,0,8,68%,21/31,Titans vs Warriors,Warriors,2018
