,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,27:41,184,"1,595",600,5,38,39.9,161,11,396,209,17,16,399,2,88%,1,5,88.1%,236,20,1,12,6,1,78%,31/40,Rabbitohs vs Roosters,Rabbitohs,2014
1,41%,19:14,134,"1,138",351,0,20,35.6,107,8,307,167,7,15,447,0,85%,4,3,85.9%,348,38,0,19,12,0,66%,21/32,Rabbitohs vs Roosters,Roosters,2014
