,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,25:15,149,"1,264",404,3,23,34.2,107,3.44s,4,381,221,27,18,378,3,75%,2,3,87.3%,282,28,13,7,9,0,8,84%,31/37,Cowboys vs Rabbitohs,Cowboys,2018
1,46%,21:31,139,"1,191",320,5,28,38.4,163,3.46s,9,325,181,21,10,253,0,90%,2,1,90.7%,312,23,9,12,10,1,8,74%,23/31,Cowboys vs Rabbitohs,Rabbitohs,2018
