,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,29:26,176,"1,791",592,6,28,40.7,182,7,408,212,13,24,496,3,93%,0,4,7,95.2%,317,12,4,5,0,77%,34/44,Rabbitohs vs Sea Eagles,Rabbitohs,2014
1,43%,22:12,146,"1,288",470,1,12,36.8,83,3,372,213,5,19,700,0,79%,1,3,0,89.8%,333,28,10,7,1,63%,22/35,Rabbitohs vs Sea Eagles,Sea Eagles,2014
