,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,29:20,187,"1,811",468,5,24,42.1,253,3.3s,7,406,215,17,22,627,3,100%,5,6,85.6%,291,36,1,13,10,3,8,0,81%,35/43,Rabbitohs vs Broncos,Rabbitohs,2019
1,46%,25:00,160,"1,438",356,2,36,46.4,128,3.18s,8,350,189,12,18,583,1,80%,8,1,91.6%,382,24,1,11,11,9,8,1,74%,23/31,Rabbitohs vs Broncos,Broncos,2019
