,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:42,178,"1,625",534,7,46,42.8,179,3.46s,16,369,188,12,19,424,2,82%,4,3,91.6%,370,29,5,13,6,1,8,2,74%,28/38,Roosters vs Panthers,Roosters,2016
1,53%,27:51,174,"1,697",592,3,29,43.5,227,3.71s,4,379,196,22,22,606,4,50%,2,5,82.2%,310,46,21,8,8,0,8,0,74%,29/39,Roosters vs Panthers,Panthers,2016
