,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,28:18,176,"1,469",430,5,18,36.7,144,3.82s,17,427,228,24,18,547,0,78%,8,1,87.2%,287,30,12,12,6,0,7,4,82%,33/40,Titans vs Wests Tigers,Titans,2016
1,45%,23:10,150,"1,342",407,3,30,38.4,120,3.36s,10,351,192,14,14,341,1,36%,6,3,89.7%,330,18,20,13,7,1,8,2,63%,22/35,Titans vs Wests Tigers,Wests Tigers,2016
