,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,26:56,174,"1,492",513,3,20,40.3,160,3.73s,7,372,183,26,24,891,91%,2,1,89.7%,383,26,18,7,7,0,9,86%,32/37,Eels vs Bulldogs,Eels,2017
1,53%,30:23,200,"1,670",617,3,26,41.8,330,3.61s,11,408,207,30,21,653,60%,7,3,91.9%,327,20,9,7,6,1,8,82%,33/40,Eels vs Bulldogs,Bulldogs,2017
