,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,21:21,154,"1,659",603,7,20,47.4,249,17,350,184,7,16,455,1,89%,3,2,92.7%,292,17,6,7,80%,28/35,Dragons vs Eels,Dragons,2013
1,51%,22:14,133,"1,471",501,2,17,44.6,175,3,333,191,5,16,348,2,85%,1,4,89%,322,20,20,8,67%,22/33,Dragons vs Eels,Eels,2013
