,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:48,152,"1,412",420,0,10,37.2,144,3.7s,8,365,203,13,19,432,0,57%,0,4,7,82.5%,343,47,26,13,6,0,8,1,68%,26/38,Cowboys vs Broncos,Cowboys,2019
1,53%,27:57,177,"1,598",457,4,47,39,111,3.56s,16,410,207,8,23,723,2,89%,1,5,6,92.7%,305,10,14,14,6,1,8,0,76%,31/41,Cowboys vs Broncos,Broncos,2019
