,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,23:24,161,"1,903",586,6,25,51.4,440,3.05s,10,353,180,23,23,711,1,67%,1,6,77.6%,260,44,1,31,5,5,8,92%,34/37,Broncos vs Sea Eagles,Broncos,2018
1,49%,22:29,150,"1,425",482,4,44,44.5,155,2.94s,19,335,181,21,13,296,1,40%,2,6,88.4%,296,25,0,14,12,6,7,69%,22/32,Broncos vs Sea Eagles,Sea Eagles,2018
