,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,26:26,169,"1,657",449,5,22,42.5,185,3.91s,18,389,206,14,18,403,0,60%,4,6,80.1%,286,45,1,26,12,5,1,1,7,79%,31/39,Eels vs Sea Eagles,Eels,2019
1,47%,23:27,150,"1,339",397,3,45,41.9,116,3.67s,13,369,209,19,14,434,1,45%,2,1,84.8%,290,22,0,30,10,9,1,1,6,72%,23/32,Eels vs Sea Eagles,Sea Eagles,2019
