,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,70%,34:30,175,"1,739",540,11,29,40.4,305,13,402,218,12,19,525,1,100%,7,4,91.7%,278,10,1,15,9,0,74%,32/43,Storm vs Sharks,Storm,2014
1,30%,14:47,136,"1,196",412,1,10,35.2,129,10,330,185,17,15,424,0,100%,4,2,87.4%,334,29,1,19,7,1,74%,25/34,Storm vs Sharks,Sharks,2014
