,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,25:56,176,"1,498",474,3,28,39.4,98,3.21s,7,381,205,46,21,605,1,60%,1,4,5,87.1%,325,38,0,10,12,8,8,1,82%,31/38,Raiders vs Cowboys,Raiders,2019
1,51%,27:00,184,"1,745",505,3,38,47.2,179,3.43s,7,368,201,24,17,461,0,40%,0,3,2,87.4%,334,28,1,20,9,9,8,0,84%,31/37,Raiders vs Cowboys,Cowboys,2019
