,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,32%,14:50,138,"1,226",367,3,18,35,119,15,307,149,7,14,431,0,79%,3,3,83%,312,48,16,8,63%,22/35,Titans vs Wests Tigers,Titans,2014
1,68%,31:31,178,"1,744",556,11,48,38.8,201,12,410,211,19,22,473,1,89%,4,6,86.5%,243,18,20,7,76%,34/45,Titans vs Wests Tigers,Wests Tigers,2014
