,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,26:01,172,"1,591",576,2,23,41.9,177,3.45s,5,392,228,15,20,417,0,33%,1,10,3,88.9%,304,26,1,12,14,7,8,0,71%,27/38,Cowboys vs Storm,Cowboys,2017
1,49%,24:59,168,"1,564",599,6,26,38.2,72,3.46s,8,363,186,13,24,628,1,75%,0,3,4,92%,323,23,3,5,9,9,8,2,76%,31/41,Cowboys vs Storm,Storm,2017
