,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,29:50,206,"1,838",637,5,54,42.8,282,3.31s,15,485,273,22,25,544,2,80%,8,4,93.5%,314,16,6,9,5,0,8,84%,36/43,Roosters vs Knights,Roosters,2016
1,43%,22:30,144,"1,189",438,0,16,35,91,3.33s,5,347,185,17,21,491,1,53%,5,3,83.1%,350,54,17,9,8,1,8,71%,24/34,Roosters vs Knights,Knights,2016
