,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,33:53,163,"1,629",631,2,21,39.7,299,4,380,185,11,27,779,2,95%,3,5,93.1%,336,13,12,6,76%,31/41,Wests Tigers vs Storm,Wests Tigers,2013
1,39%,21:40,152,"1,351",549,1,13,31.4,176,8,389,208,5,27,856,1,95%,3,3,92.5%,369,21,9,5,77%,33/43,Wests Tigers vs Storm,Storm,2013
