,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,27:42,170,"1,522",490,3,41,40.1,177,4.24s,6,383,207,22,19,625,73%,3,2,90.3%,389,23,0,19,9,66%,25/38,Rabbitohs vs Sea Eagles,Rabbitohs,2015
1,50%,27:42,197,"1,664",577,2,23,38.7,191,3.58s,9,462,270,38,21,535,50%,5,5,86%,306,41,2,9,6,67%,29/43,Rabbitohs vs Sea Eagles,Sea Eagles,2015
