,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,26:38,167,"1,579",615,2,44,46.5,147,2.88s,14,395,223,29,21,545,0,62%,2,4,88.6%,341,30,14,6,7,8,88%,30/34,Sea Eagles vs Warriors,Sea Eagles,2018
1,52%,28:51,175,"1,821",572,5,30,46.7,261,2.93s,9,402,225,43,18,506,1,90%,5,4,84.9%,343,44,17,8,9,8,85%,33/39,Sea Eagles vs Warriors,Warriors,2018
