,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,25:49,178,"1,506",517,7,12,40.7,137,3.98s,8,418,231,23,22,777,1,80%,1,1,4,85.8%,307,31,0,20,6,84%,31/37,Sea Eagles vs Knights,Sea Eagles,2015
1,48%,23:50,176,"1,643",527,5,31,45.6,206,3.9s,15,428,245,27,17,394,1,80%,0,6,3,92.9%,341,12,1,14,3,72%,26/36,Sea Eagles vs Knights,Knights,2015
