,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,29:15,185,"1,663",509,5,23,40.6,203,3.34s,6,429,224,10,28,619,2,67%,6,9,86.5%,315,31,18,6,5,8,85%,35/41,Storm vs Roosters,Storm,2016
1,48%,27:00,162,"1,503",474,4,31,43,165,3.56s,14,396,217,9,22,487,0,57%,7,5,92.8%,389,23,7,12,7,8,74%,26/35,Storm vs Roosters,Roosters,2016
